name,weight,lift_start,lift_end,success
6,180,00:6:31,4,1
2,181,00:7:36,3,1
3,185,00:9:23,4,1
8,185,00:10:29,4,1
2,186,00:11:40,5,1
6,187,00:12:52,3,1 
6,189,00:16:19,3,1 
10,190,00:17:48,4,1
8,190,00:19:10,5,1
2,190,00:20:22,7,0
9,191,00:21:19,4,1
3,191,00:22:25,3,0 
4,192,00:24:00,2,0 
4,192,00:25:47,3,0 
3,192,00:26:53,3,1
4,192,00:28:10,3,1
1,193,00:29:06,3,1
8,193,00:30:10,2,0
9,197,00:31:15,3,0
10,198,00:32:42,4,0
1,198,00:33:50,3,1
10,199,00:35:38,3,0
7,200,00:36:47,3,1
1,201,00:38:37,4,1 
7,207,00:40:10,6,1
5,208,00:41:14,3,1
7,212,00:42:24,3,1
5,215,00:43:39,3,1
5,220,00:45:45,3,1
