name,weight,lift_start,lift_end,success
5,152,00:01:48,3,1
3,153,00:02:45,4,1
3,157,00:05:37,2,0
3,157,00:07:30,2,0
1,160,00:08:45,3,1
2,160,00:09:36,2,1
4,160,00:10:27,3,1
11,160,00:13:08,3,0
5,160,00:14:00,3,1
11,160,00:15:32,3,1
11,160,00:15:32,3,1
6,163,00:17:43,2,1
5,163,00:19:58,4,1
10,165,00:22:02,4,1
1,165,00:23:19,3,1
4,165,00:24:08,3,0
11,165,00:25:38,3,0
9,166,00:26:35,4,1
2,166,00:27:27,3,1
4,166,00:28:31,2,0
6,167,00:29:29,4,1
8,167,00:30:23,2,1
1,167,00:31:41,3,1
10,169,00:33:46,2,0
9,169,00:34:40,3,1
2,169,00:35:29,2,1
8,169,00:36:32,4,1
6,170,00:37:37,2,0
10,170,00:38:23,2,0
9,172,00:39:25,4,1
